Entity,QRank
Q223117,6804960
Q370185,6804019
Q822,6793912
Q172863,6793843
Q28404534,6785152
Q2306,6783126
Q56278196,6783062
Q711,6776611
Q1225041,6769609
Q47452423,6769541
Q85000980,6769044
Q336,6760063
Q9418,6759832
Q631,6752775
Q42581,6750725
Q30547,6750701
Q244674,6741080
Q16756,6733827
Q58912,6727559
Q20514253,6722864
Q7226,6717218
Q61707579,6716709
Q1179138,6711417
Q612,6709159
Q25089,6709106
Q9077,6707144
Q796,6701037
Q28406404,6700313
Q159386,6696720
Q430,6695531
Q347,6694981
Q61872806,6690645
Q12548,6687967
Q298364,6687278
Q18602670,6687205
Q3700050,6675953
Q296887,6675451
Q23017303,6674948
Q9340,6674643
Q397,6671492
Q324867,6671189
Q106514,6668830
Q29468,6659959
Q38404,6657083
Q1405,6655851
Q11930,6653909
Q13424289,6649321
Q717,6648264
Q97154240,6643034
Q172044,6639671
Q2006869,6638657
Q37312,6636739
Q319,6627689
Q80044,6620151
Q1138235,6620061
Q11235,6607920
Q170428,6607407
Q18741,6605294
Q39792,6601045
Q231690,6598851
Q10479,6597556
Q844,6595175
Q702233,6583523
Q455462,6583490
Q178516,6582770
Q5887,6581934
Q1615,6578076
Q7327,6574672
Q27593,6573490
Q28493,6564535
Q47213,6564501
Q786,6562752
Q7106262,6562749
Q288477,6558007
Q9121,6550172
Q235132,6546851
Q41076,6546143
Q4525,6532495
Q1354960,6517208
Q228699,6514955
Q96216515,6512742
Q170581,6512550
Q2192288,6510171
Q13382352,6509914
Q782,6508242
Q159375,6507529
Q185498,6504083
Q9550,6503280
Q56850065,6499726
Q39829,6498988
Q231556,6497434
Q116062,6492888
Q119798,6487795
Q858,6487779
Q974,6484748
Q298,6482218
Q22338877,6481083
Q392,6480373
Q237,6480011
Q24451685,6477896
Q8698,6477392
Q220140,6472837
Q1375057,6467847
Q53000974,6465802
Q43874,6464291
Q5592,6464061
Q103610353,6459969
Q23505,6456149
Q179414,6455979
Q55183,6437903
Q6102450,6435799
Q6470744,6434563
Q28682687,6426619
Q132952,6425070
Q99717,6421807
Q139890,6421633
Q9181,6419135
Q313,6412739
Q193815,6407997
Q10993,6393264
Q19020,6393006
Q41662,6387431
